,1CreatorLtd,kevinhall1963,EUVoteLeave23rd,McFc_Winners,PeterGrant19,kimholdersmith,TimminsVicky,ChrisWynThom,Pompey4Britain,HACKEDOFF_VOTER,DamainWard,Charlie411114,English_Woman,ElContador2000,CymroAlba,xargle,NONONOEU,The_UK_NeedsYou,Seth66Owens,SuperbikeAl,donphill,munro11munro,BaronGraham,Teenie6619Tina,conndec,nanb58,dvalentino007,davidbent1948,cristine_foster,willdefens,pbarrett45,Binnsy_46,TisMcbeth,DawnFamily4,ShortfuseLiz,rock2shark,tt_saw,LiverpoolDL,Kilsally,lsrlinda,RogTallbloke,mickjones61,jamesckearns,BeverleyDunlop,HarridgePike,VoteLeaveEU,martinstevens27,UKMCEOfficial,Derek5Coms,julia_reid
DamainWard,0.5444990535888417,0.3908824289315791,0.29948927030179234,0.644525906669068,0.27803728382571385,0.33083132553882844,0.45018085178574263,0.37320875235701956,0.20286984660779983,0.30703824395841683,1.0,0.25462932266215627,0.31264357967363016,0.29481566821445665,0.3584128532719214,0.17435363364120032,0.5053674283437019,0.4823793873897553,0.17155240254805798,0.33968956780910825,0.38751271371957136,0.3283472903496508,0.34009086071179184,0.32728530615316254,0.11009611404960101,0.27549962840741554,0.2860053096787966,0.3480436562325875,0.45420593188254943,0.2944695514538293,0.37862597433993445,0.3182585313110535,0.2469641113768522,-0.069285493124236,0.22577583388434125,0.25618940043880517,0.30441678522823645,0.21008895203632805,0.1016910756731429,0.15170797211233322,0.22102500761337213,0.07887300885360396,0.31240847490721696,0.4835668653123944,0.2558986893931483,0.18755445086790437,0.3959605103371225,0.3034141349612594,0.3742811696874126,0.27523622259197633
Charlie411114,0.5606562662315541,0.32878255550432695,0.6098255536672703,0.4438910480026255,0.6920136334523346,0.23009603828253203,0.30046384917844693,0.29520961469216145,0.6149607963650457,0.6421658988778386,0.25462932266215627,1.0,0.13557166012751695,0.3565819265073025,0.4045128820519499,0.5058136402177796,0.5180854482065003,0.5028381514622701,0.31532068929017787,0.5136630473138116,0.33094480297853873,0.4916700927972559,0.233481174435501,0.281851295841595,0.26198659244367506,0.5442826720207931,0.3693926418209419,0.5741117423651058,0.23704746101511956,0.2627030397722491,0.42120488162078,0.39103373377670947,0.3214881097745222,0.3995156471008792,0.2836017097889746,0.35275490600610754,0.6911200773866786,0.40160684148775005,0.5424429823074471,0.3250995429959771,0.4088259749104526,0.34256175092486657,0.371871728047692,0.36152069354107336,0.25777555863845447,0.6136993232086464,0.23385908872338296,0.2636693040681608,0.4534701486620774,0.24535541273918007
English_Woman,0.17470266019866468,0.24966432886841697,0.3042810244563088,0.17888750610254753,0.2531654274918462,0.2933734635309826,0.12309204864030511,0.33414951013009186,0.1926972249989767,0.37103730659391493,0.31264357967363016,0.13557166012751695,1.0,0.03469626251625268,0.23075483800849803,0.47682887462380596,0.2782245431298256,0.30159518624408144,0.24155213027507424,0.3499984766663325,0.08756989619845393,0.4920859167289156,0.33888688694488317,0.137506974114865,0.1267245351081424,0.17947913717929465,0.39307762271485885,0.25146354133255727,0.33247364335233254,-0.07763210036943795,0.2370838837985261,0.4170922112623941,0.14978952322675781,0.19900911680608305,0.018147524410419558,0.19098443510536497,0.23883045306630563,0.11034544558640148,0.6069031966609159,0.048483099838287046,0.15101344276514234,0.17049837479313415,-0.05405852409964101,0.4216677445628213,0.19909502364856393,-0.06301613189509156,0.37450520175910207,0.011008266887870996,0.4235288504845277,0.26773920951884506
ElContador2000,0.5118340412694923,0.31937297523202396,0.4575137978996094,0.49168471363568034,0.3708656729527632,0.25697387800473787,0.5487716465441397,0.2758306409652208,0.2794410050931441,0.3737730203799782,0.29481566821445665,0.3565819265073025,0.03469626251625268,1.0,0.5163211726625445,-0.07312818046457961,0.3170013412951408,0.3405602707557266,0.44417661527447155,0.062138644280697826,0.44268293764791167,0.36604169933546243,0.5304813111307375,0.515462395092117,0.3449659697964589,0.2924259182314891,0.06292092088722065,0.35808901624666695,0.18037091176781517,0.1857218158467623,0.19293307531198495,0.43596525811904213,0.5848126810743558,0.38448219912401455,0.6692057394911549,0.44289714748952175,0.4113275723447612,0.24345336998968284,0.20836467624381555,0.40756682235886715,0.31337021219241085,0.062257216096713926,0.38827980008296836,0.29687442137824005,0.3582791430467097,0.3904749069078025,0.24970260142553766,0.4472515480823329,0.2924683966142196,0.3904280835379952
CymroAlba,0.45157548242365414,0.6220509953673954,0.5946792604587349,0.5047235045987606,0.4347533643099773,0.4528477101396779,0.5226199134445347,0.29406257911952455,0.2502503888703339,0.4115573699201282,0.3584128532719214,0.4045128820519499,0.23075483800849803,0.5163211726625445,1.0,0.16476019694489535,0.2830574776480516,0.6467110468910782,0.5081184104268515,0.31811109231881685,0.4874663190628352,0.5723286509770681,0.43095719157226664,0.3947441427094429,0.28149561581554394,0.2542086298973159,0.12645468974030433,0.5000076483225694,0.5584649403781619,0.3201108430574898,0.2577192434930256,0.5924891610709356,0.37757748709240374,0.3883798957049402,0.6025654421541607,0.46275198884767127,0.3971646258016928,0.3334278181582536,0.28876523574539686,0.5830651942781097,0.23028135274852496,0.3588470976885805,0.5432725373224823,0.30663003286539925,0.43871288803681285,0.4247529777474079,0.36098648734685984,0.24641137962124102,0.5120056200853358,0.2556731927491487
xargle,0.20911092910584334,0.2528824987786705,0.38405835843495884,0.18806932861201944,0.4630947922517778,0.06419891020241494,-0.018026478488658893,0.22209315103027122,0.31241832628246646,0.4719559552255683,0.17435363364120032,0.5058136402177796,0.47682887462380596,-0.07312818046457961,0.16476019694489535,1.0,0.37181910495203097,0.3487873683280975,0.19979749108739192,0.6011838821848441,0.048382748610800316,0.40528937893245187,0.1303620901251951,-0.021907421567026974,0.21479409369382074,0.48146095515033854,0.4954323610819638,0.30953194309795085,0.27074407690881525,0.16085881767181398,0.2445765622961007,0.3730779877371736,0.015411756175850565,0.12806613832091066,0.009836699388717528,0.09734067795046981,0.3983482814730389,0.42849611198173965,0.48902346901278515,0.041275088521835576,0.13444613376193487,0.4161200972124445,0.12400268655904728,0.18840074676367785,0.11148134110042979,0.3410960596242118,0.3060630220521094,0.01466397282706291,0.44664813295529654,0.1298966254374947
NONONOEU,0.5799750318367435,0.4399779836676626,0.4839437411887837,0.3777453605877848,0.23385676992859197,0.2292044896726451,0.4114769752593515,0.21615009949928526,0.43006796837486266,0.6052314760328562,0.5053674283437019,0.5180854482065003,0.2782245431298256,0.3170013412951408,0.2830574776480516,0.37181910495203097,1.0,0.4414028565499991,0.28265253001616253,0.3980275364487169,0.1410613910633662,0.4470312070628056,0.33994960695356213,0.2094554886645621,0.3139399669990471,0.4968746108723941,0.24009451441443933,0.4753110282764632,0.37817900159308854,0.21357990712689073,0.4511426018745961,0.3544094314559412,0.27017008221831157,0.1781257893875887,0.20098076642725812,0.30067275916041414,0.405463928294433,0.3696489820005262,0.4194110704223873,0.28257834334916243,0.5255690476785062,0.4172772392375382,0.29307351519152397,0.5462163268614466,0.48010771032725474,0.45214480957586084,0.17721722024485023,0.27933181810628,0.3919253422470856,0.23733207652322955
The_UK_NeedsYou,0.5176795723674168,0.5870676858383426,0.6254675864604076,0.6365212890196345,0.49725962373185956,0.3135711626676009,0.481908313226621,0.4868853617699943,0.5092783937878246,0.4826854314049596,0.4823793873897553,0.5028381514622701,0.30159518624408144,0.3405602707557266,0.6467110468910782,0.3487873683280975,0.4414028565499991,1.0,0.5223546737120952,0.5456027026136013,0.42604424518316697,0.6141381888467824,0.44893282657888645,0.4863140719380131,0.5320055397290246,0.4903869630883677,0.28644022974829375,0.5476669252521816,0.4289660655926996,0.2686452597918153,0.35981891961975526,0.5841043365664864,0.3682361489773822,0.3742115253818467,0.4087245615505077,0.4839701441531747,0.4707185202962371,0.2571115186228793,0.3892678867660423,0.41010541018382946,0.35484695851987375,0.2597434687497293,0.39656506381448703,0.5166524161898398,0.46142201145515743,0.47074003674116033,0.34416432682662634,0.352029821118211,0.40729182088702093,0.1950812381736679
Seth66Owens,0.35115204305285136,0.35618083345593415,0.5874638031775635,0.33128386753908906,0.47254991638252297,0.08080781001195007,0.30397000816851133,0.4090684547817121,0.23771339071884923,0.39409624062737986,0.17155240254805798,0.31532068929017787,0.24155213027507424,0.44417661527447155,0.5081184104268515,0.19979749108739192,0.28265253001616253,0.5223546737120952,1.0,0.2387419202194135,0.36452070940057335,0.553550951322123,0.3635541430791282,0.5741766024208466,0.42489532145913667,0.37507991291629555,0.043051604998329926,0.3280204801826926,0.21333218434494797,0.2100831144611089,0.08732772572370542,0.5555398297163553,0.4198312942584147,0.2908380413982465,0.6389002075721539,0.2913647981871021,0.5430938602698082,0.2508108285860399,0.3154890896427574,0.2401313006826077,0.2480770518690095,0.4433307810770698,0.13997797287871588,0.3504846532652344,0.3524614777436006,0.287381232434155,0.3167017886211704,0.33043262171351584,0.28978686991321817,0.047993733385494605
SuperbikeAl,0.3891971692881289,0.4698784250343635,0.44193768840038455,0.4840580329738129,0.4900983626741046,0.09754893111011803,0.2933324350976538,0.3851900525336148,0.47330559475369766,0.44905956843001316,0.33968956780910825,0.5136630473138116,0.3499984766663325,0.062138644280697826,0.31811109231881685,0.6011838821848441,0.3980275364487169,0.5456027026136013,0.2387419202194135,1.0,0.31441990786667307,0.5269447806962033,0.11291764387479039,0.2487587852989226,0.3979633290616633,0.49010565802291023,0.32467017157716876,0.34508196536949765,0.4632787701008429,0.08683879927210802,0.12578479389990477,0.33852599775355297,0.23016284105562448,0.26719313030067904,0.1036253532560786,0.37317876019344576,0.49286046163751057,0.19365801659883744,0.5135196540002405,0.21053516443181375,0.055784278472619325,0.3301277251517737,0.27960634146609276,0.3583447410619737,0.3583275877181231,0.279824439293706,0.23064743271793164,0.0516489666374847,0.4748718959413841,0.18261162777720172
